date,latitude,longitude,target_pm25,pm25,target_pm10,pm10,target_no2,no2,target_o3,o3,target_co,co,target_so2,so2,temperature_c,wind_speed_ms,wind_direction_deg,humidity_perc,pressure_hpa,tempo_no2_col,tempo_hcho_col,day_of_year,day_of_week
2008-01-02,33.82376,-118.18921,8.7,10.2,35.0,24.5,32.652174,18.772727,0.008647,0.019176,0.9466485,0.5155795000000001,2.6257764999999997,1.172981,16.38888888888889,1.413208020196,129.882353,10.625,1014.041667,0.0003532503305370054,0.00010338186016826148,2,2
2008-01-03,33.82376,-118.18921,13.1,8.7,34.0,35.0,28.304348,32.652174,0.017824,0.008647,1.184692,0.9466485,2.7559005,2.6257764999999997,13.91203722222222,1.836993611852,108.75,46.166667,1012.416667,0.0002652517873297566,7.345812784871455e-05,3,3
2008-01-04,33.82376,-118.18921,5.3,13.1,15.0,34.0,9.0,28.304348,0.025353,0.017824,0.37635850000000004,1.184692,1.19441,2.7559005,13.379629444444445,3.4982192,134.5,94.916667,1011.333333,0.0004233091626270465,8.164311574884392e-05,4,4
2008-01-05,33.82376,-118.18921,5.3,5.3,14.0,15.0,17.608696,9.0,0.018471,0.025353,0.438587,0.37635850000000004,2.1223605,1.19441,13.333333333333332,1.7233874,227.833333,93.833333,1007.416667,0.00032009838107046625,0.00011404090830374291,5,5
2008-01-06,33.82376,-118.18921,6.0,5.3,11.0,14.0,9.826087,17.608696,0.025588,0.018471,0.382699,0.438587,1.5900625,2.1223605,11.71296277777778,2.004187911852,192.875,90.875,1007.083333,0.0004928119218469012,0.00014905032809390303,6,6
2008-01-07,33.82376,-118.18921,7.2,6.0,13.0,11.0,22.086957,9.826087,0.008353,0.025588,0.6352355000000001,0.382699,1.4173915,1.5900625,11.435185000000002,1.7619707,177.0,76.208333,1007.541667,0.00039967411136111654,6.964297443131895e-05,7,0
2008-01-08,33.82376,-118.18921,15.7,7.2,23.0,13.0,27.73913,22.086957,0.005118,0.008353,1.0119565000000001,0.6352355000000001,2.2807455,1.4173915,11.064814999999998,1.294684238148,146.958333,86.083333,1015.166667,0.0004297744992953933,7.720088569580705e-05,8,1
2008-01-09,33.82376,-118.18921,22.1,15.7,24.0,23.0,28.73913,27.73913,0.003176,0.005118,1.1725545,1.0119565000000001,2.0577639999999997,2.2807455,10.555555555555555,1.1660732381480001,156.0,90.25,1013.875,0.00029423117466114015,8.647483082301562e-05,9,2
2008-01-10,33.82376,-118.18921,30.9,22.1,29.0,24.0,32.695652,28.73913,0.003529,0.003176,1.302355,1.1725545,3.5608695,2.0577639999999997,11.759259444444442,1.181077511852,118.666667,86.541667,1013.208333,0.00036523219521086007,6.181088251599434e-05,10,3
2008-01-11,33.82376,-118.18921,39.4,30.9,38.0,29.0,37.869565,32.695652,0.002294,0.003529,1.6913045,1.302355,3.827019,3.5608695,12.82407388888889,1.256100938148,93.791667,85.458333,1010.791667,0.00015632250811142552,0.00010989321161426909,11,4
2008-01-12,33.82376,-118.18921,38.9,39.4,39.0,38.0,41.130435,37.869565,0.003294,0.002294,1.721377,1.6913045,3.546584,3.827019,14.421296111111113,1.206799711852,168.416667,71.916667,1011.833333,0.00036600455457089345,8.514063250190224e-05,12,5
2008-01-13,33.82376,-118.18921,19.5,38.9,27.0,39.0,32.73913,41.130435,0.011588,0.003294,1.4005435,1.721377,2.849068,3.546584,16.666666666666668,1.500461838148,158.166667,43.5,1014.25,0.00028002868883152343,0.0001314984649519562,13,6
2008-01-14,33.82376,-118.18921,14.7,19.5,29.0,27.0,36.608696,32.73913,0.010059,0.011588,1.4417575,1.4005435,3.1152175,2.849068,16.203703888888885,1.65265135,171.125,30.916667,1016.625,0.0004996831933805499,0.00014843394612032296,14,0
2008-01-15,33.82376,-118.18921,15.6,14.7,28.0,29.0,31.956522,36.608696,0.006941,0.010059,1.1895835,1.4417575,2.9857145000000003,3.1152175,13.217592777777776,1.599063261852,128.458333,57.541667,1011.5,0.00028830734073439975,9.665335605085374e-05,15,1
2008-01-16,33.82376,-118.18921,15.4,15.6,24.0,28.0,23.173913,31.956522,0.023059,0.006941,0.799366,1.1895835,1.4245345,2.9857145000000003,12.731481666666664,1.836993611852,90.916667,57.5,1007.833333,0.00019660779760900736,0.00013341031765863037,16,2
2008-01-17,33.82376,-118.18921,8.2,15.4,31.0,24.0,25.347826,23.173913,0.008941,0.023059,0.629076,0.799366,2.071739,1.4245345,12.82407388888889,1.8991559381479999,181.333333,24.875,1011.958333,0.0004397144435139331,5.54149967000899e-05,17,3
2008-01-18,33.82376,-118.18921,16.6,8.2,32.0,31.0,34.434783,25.347826,0.006412,0.008941,1.2216485000000001,0.629076,3.158385,2.071739,12.060185,1.654795038148,110.875,46.875,1013.916667,0.00048137704514599546,0.00014529306121305893,18,4
2008-01-19,33.82376,-118.18921,18.3,16.6,25.0,32.0,31.434783,34.434783,0.009765,0.006412,1.1267209999999999,1.2216485000000001,2.230435,3.158385,12.870370555555553,1.669799311852,123.375,47.875,1015.166667,0.0003532848177567873,0.00011610099287669563,19,5
2008-01-20,33.82376,-118.18921,21.7,18.3,21.0,25.0,21.478261,31.434783,0.024824,0.009765,1.05625,1.1267209999999999,2.19441,2.230435,10.94907388888889,1.631216011852,138.833333,70.166667,1008.416667,0.0002192294419599466,0.00010150089906225496,20,6
2008-01-21,33.82376,-118.18921,7.7,21.7,12.0,21.0,22.869565,21.478261,0.011294,0.024824,0.5218295000000001,1.05625,1.9211179999999999,2.19441,10.925926111111108,1.800554,167.166667,67.958333,1010.708333,0.00031953551368118046,6.578627500919258e-05,21,0
2008-01-22,33.82376,-118.18921,8.1,7.7,9.0,12.0,20.956522,22.869565,0.015941,0.011294,0.6104164999999999,0.5218295000000001,1.237578,1.9211179999999999,11.180555555555555,1.836993611852,106.083333,83.291667,1013.291667,0.00025938466507621126,7.598178241849777e-05,22,1
2008-01-23,33.82376,-118.18921,8.4,8.1,10.0,9.0,19.956522,20.956522,0.018882,0.015941,0.6673914999999999,0.6104164999999999,1.19441,1.237578,9.884259444444442,2.480763174568,146.277778,86.875,1008.125,0.0003303383531987414,8.193216408533462e-05,23,2
2008-01-24,33.82376,-118.18921,2.7,8.4,8.0,10.0,15.521739,19.956522,0.031706,0.018882,0.440127,0.6673914999999999,1.1512419999999999,1.19441,10.231481666666665,2.42817568,141.85,82.458333,1007.458333,0.00037213108804826913,0.00013002282962607163,24,3
2008-01-25,33.82376,-118.18921,5.9,2.7,15.5,8.0,10.478261,15.521739,0.018588,0.031706,0.37318799999999996,0.440127,1.0,1.1512419999999999,12.222222222222221,3.4046840208080003,126.5,86.291667,1013.166667,0.00029842565920968044,0.00013464812539265553,25,4
2008-01-26,33.82376,-118.18921,7.7,5.9,13.0,15.5,15.608696,10.478261,0.022765,0.018588,0.6397645000000001,0.37318799999999996,1.0649069999999998,1.0,13.217592777777776,2.396451461852,92.041667,68.75,1012.541667,0.00045793738181672266,8.13429271879942e-05,26,5
2008-01-27,33.82376,-118.18921,3.5,7.7,14.0,13.0,7.956522,15.608696,0.035471,0.022765,0.30842400000000003,0.6397645000000001,1.2590065,1.0649069999999998,13.657407222222224,3.328881211852,184.458333,90.75,1006.25,0.00019585778733678238,9.587661074044417e-05,27,6
2008-01-28,33.82376,-118.18921,3.9,3.5,13.0,14.0,15.826087,7.956522,0.016059,0.035471,0.3450185,0.30842400000000003,1.2232919999999998,1.2590065,11.550926111111108,3.38889985,240.166667,77.875,1010.75,0.0003038947409897929,0.00014139506066724127,28,0
2008-01-29,33.82376,-118.18921,7.2,3.9,24.0,13.0,24.086957,15.826087,0.012235,0.016059,0.610598,0.3450185,1.5180125,1.2232919999999998,10.208333333333334,1.560479961852,144.083333,76.583333,1015.625,0.00030968284685811644,5.479932038809948e-05,29,1
2008-01-30,33.82376,-118.18921,10.1,7.2,21.0,24.0,24.952381,24.086957,0.015706,0.012235,0.8032095,0.610598,1.9011905,1.5180125,11.041666666666666,1.804840861852,198.916667,59.375,1014.708333,0.0002305277190448934,9.395417300378896e-05,30,2
2008-01-31,33.82376,-118.18921,10.2,10.1,21.0,21.0,29.565217,24.952381,0.011647,0.015706,0.7589675,0.8032095,2.2807455,1.9011905,12.175926111111108,2.042771211852,159.25,47.875,1017.958333,0.00027697497420254,7.1452201629958e-05,31,3
2008-02-01,33.82376,-118.18921,17.0,10.2,25.0,21.0,27.130435,29.565217,0.011059,0.011647,0.9181159999999999,0.7589675,2.014596,2.2807455,10.48611111111111,1.39542935,134.916667,77.458333,1013.75,0.00019211998006742428,0.00011704811781993712,32,4
2008-02-02,33.82376,-118.18921,16.4,17.0,24.0,25.0,26.695652,27.130435,0.011353,0.011059,0.8355980000000001,0.9181159999999999,1.9568325,2.014596,10.856481666666665,1.296827411852,141.375,74.125,1012.541667,0.0004260224030426478,0.00010632593368984816,33,5
2008-02-03,33.82376,-118.18921,10.0,16.4,12.0,24.0,11.130435,26.695652,0.031176,0.011353,0.488225,0.8355980000000001,1.0863355000000001,1.9568325,11.226851666666668,3.594398106908,196.304348,82.958333,1006.333333,0.0004283692501880206,5.569508131668983e-05,34,6
2008-02-04,33.82376,-118.18921,4.0,10.0,8.0,12.0,19.391304,11.130435,0.014882,0.031176,0.48333349999999997,0.488225,1.3745345,1.0863355000000001,11.967592777777776,1.744822738148,220.541667,45.416667,1008.125,0.000299871113368981,0.00012655683597049088,35,0
2008-02-05,33.82376,-118.18921,7.6,4.0,24.0,8.0,28.565217,19.391304,0.012176,0.014882,0.8490035,0.48333349999999997,1.669565,1.3745345,11.296296111111113,1.5626236500000001,176.25,45.958333,1017.291667,0.00030708237524004067,0.0001102865657070369,36,1
2008-02-06,33.82376,-118.18921,17.9,7.6,30.0,24.0,34.869565,28.565217,0.007353,0.012176,1.036413,0.8490035,3.6130435,1.669565,10.856481666666665,1.2159583583840001,74.272727,65.208333,1016.5,0.00023497978690566602,9.396222706483013e-05,37,2
2008-02-07,33.82376,-118.18921,18.7,17.9,28.0,30.0,35.652174,34.869565,0.008059,0.007353,1.112047,1.036413,2.4608695000000003,3.6130435,12.870370555555553,1.686641179524,207.785714,67.791667,1014.708333,0.00018591698070381514,7.070857957652061e-05,38,3
2008-02-08,33.82376,-118.18921,31.1,18.7,37.0,28.0,48.521739,35.652174,0.006118,0.008059,1.402989,1.112047,10.803106,2.4608695000000003,15.370370555555553,1.309688511852,163.0,58.75,1011.958333,0.00035505710153032965,8.151905387013316e-05,39,4
2008-02-09,33.82376,-118.18921,18.9,31.1,29.0,37.0,39.913043,48.521739,0.011765,0.006118,1.452536,1.402989,6.330435,10.803106,17.592592777777774,1.596920088148,156.166667,39.625,1012.375,0.00041647540546351316,0.00014024692290646486,40,5
