date,latitude,longitude,target_pm25,pm25,target_pm10,pm10,target_no2,no2,target_o3,o3,target_co,co,target_so2,so2,temperature_c,wind_speed_ms,wind_direction_deg,humidity_perc,pressure_hpa,tempo_no2_col,tempo_hcho_col,day_of_year,day_of_week
2009-06-09,30.461981,-91.179219,33.0,18.0,9.4,8.9,12.083333,11.0,0.015765,0.018294,0.174226,0.1614585,0.39937849999999997,0.44375,28.07870388888889,1.483313361852,179.5,77.541667,1007.916667,0.0003127750124124748,0.0001274822128902067,160,1
2009-06-10,30.461981,-91.179219,26.0,33.0,9.2,9.4,11.0,12.083333,0.015412,0.015765,0.14708349999999998,0.174226,0.4729165,0.39937849999999997,28.240740555555554,1.7641143881480001,204.666667,78.541667,1006.875,0.00020565995620746793,0.00011903938971146683,161,2
2009-06-11,30.461981,-91.179219,22.0,26.0,8.3,9.2,10.416667,11.0,0.016059,0.015412,0.1591665,0.14708349999999998,0.5229165,0.4729165,28.333333333333332,1.9441697881480002,211.666667,73.625,1005.75,0.0003512336988542671,0.00013595818879744037,162,3
2009-06-12,30.461981,-91.179219,17.0,22.0,8.5,8.3,12.208333,10.416667,0.018412,0.016059,0.17032599999999998,0.1591665,0.6736025,0.5229165,27.962962777777776,1.560479961852,197.791667,74.625,1006.416667,0.0002771043955592474,6.198862280268341e-05,163,4
2009-06-13,30.461981,-91.179219,15.0,17.0,8.3,8.5,9.708333,12.208333,0.020353,0.018412,0.1802085,0.17032599999999998,0.5145835000000001,0.6736025,28.449073888888886,1.487600738148,208.125,73.958333,1007.958333,0.00011811381120313644,5.0994760616026746e-05,164,5
2009-06-14,30.461981,-91.179219,13.0,15.0,8.2,8.3,7.571429,9.708333,0.020176,0.020353,0.15187499999999998,0.1802085,0.40625,0.5145835000000001,28.65740722222222,1.4854570500000002,222.333333,75.458333,1008.75,0.000168323656863539,0.00013114822810992625,165,6
2009-06-15,30.461981,-91.179219,20.0,13.0,10.7,8.2,10.375,7.571429,0.020059,0.020176,0.1566665,0.15187499999999998,0.6770835,0.40625,29.02777777777778,1.455447988148,223.0,74.5,1008.25,0.00012535495163137087,0.00010224930610144572,166,0
2009-06-16,30.461981,-91.179219,23.0,20.0,11.9,10.7,11.125,10.375,0.022941,0.020059,0.171721,0.1566665,0.7015525,0.6770835,29.166666666666664,1.65265135,208.791667,73.25,1007.791667,0.0004412688331959185,0.0001031870141062974,167,1
2009-06-17,30.461981,-91.179219,25.0,23.0,12.2,11.9,11.181818,11.125,0.021412,0.022941,0.17583300000000002,0.171721,0.80625,0.7015525,29.28240722222222,1.2089434000000001,219.083333,73.125,1008.833333,0.0003118468330214494,9.45449666572805e-05,168,2
2009-06-18,30.461981,-91.179219,17.0,25.0,9.75,12.2,10.75,11.181818,0.024588,0.021412,0.1385415,0.17583300000000002,0.3208335,0.80625,29.90740722222222,1.429725788148,229.666667,70.916667,1007.5,0.00031474969196890336,0.0001266015574716908,169,3
2009-06-19,30.461981,-91.179219,21.0,17.0,8.3,9.75,8.875,10.75,0.028765,0.024588,0.1479165,0.1385415,0.1835405,0.3208335,30.231481666666667,1.4125773118520002,235.833333,70.583333,1006.75,0.0004728284436126182,5.610747353603758e-05,170,4
2009-06-20,30.461981,-91.179219,17.0,21.0,9.0,8.3,7.375,8.875,0.029824,0.028765,0.1645835,0.1479165,0.16249999999999998,0.1835405,30.046296111111108,1.506892388148,236.166667,72.416667,1006.583333,0.0004664088552929668,0.00012332814752522565,171,5
2009-06-21,30.461981,-91.179219,18.0,17.0,10.8,9.0,6.0,7.375,0.029647,0.029824,0.11958350000000001,0.1645835,0.1416665,0.16249999999999998,30.046296111111108,1.4854570500000002,245.791667,71.416667,1005.791667,0.0002922491997209725,6.528107255583387e-05,172,6
2009-06-22,30.461981,-91.179219,28.0,18.0,11.2,10.8,8.25,6.0,0.028176,0.029647,0.1235415,0.11958350000000001,0.15625,0.1416665,30.208333333333332,1.65265135,256.75,69.958333,1004.458333,0.00037239276888819187,0.00012450459500610523,173,0
2009-06-23,30.461981,-91.179219,36.0,28.0,11.1,11.2,9.583333,8.25,0.032353,0.028176,0.14344200000000001,0.1235415,0.1590065,0.15625,30.833333333333332,2.10278985,271.625,68.416667,1003.375,0.0001099380864297495,8.272772564993085e-05,174,1
2009-06-24,30.461981,-91.179219,50.0,36.0,12.9,11.1,13.454545,9.583333,0.034529,0.032353,0.17604150000000002,0.14344200000000001,0.1645835,0.1590065,30.185184999999997,1.9891836381480001,252.958333,71.0,1002.75,0.0004404793445500584,0.00014953874464526546,175,2
2009-06-25,30.461981,-91.179219,55.0,50.0,20.7,12.9,13.652174,13.454545,0.0436,0.034529,0.2119565,0.17604150000000002,0.4152175,0.1645835,31.449275555555552,1.93923009686,201.173913,62.130435,1002.913043,0.00046965818911037484,9.227957630411348e-05,176,3
2009-07-01,30.461981,-91.179219,38.0,28.0,14.4,10.55,20.5,16.208333,0.052294,0.044588,0.23312500000000003,0.1980435,0.3770835,0.622981,30.787037222222224,1.393285661852,246.416667,59.375,1003.083333,0.00016206330076272397,0.00011417507478921101,182,2
2009-07-02,30.461981,-91.179219,40.0,38.0,16.5,14.4,12.375,20.5,0.045353,0.052294,0.19937500000000002,0.23312500000000003,0.1479165,0.3770835,30.856481666666667,1.669799311852,256.166667,67.958333,1007.041667,0.0003706489450797,0.00013439259259666564,183,3
2009-07-03,30.461981,-91.179219,27.0,40.0,14.1,16.5,13.458333,12.375,0.040882,0.045353,0.18695650000000003,0.19937500000000002,0.11801249999999999,0.1479165,30.787037222222224,1.669799311852,268.833333,72.125,1010.0,0.00036862254459248567,0.00014796000085025442,184,4
2009-07-04,30.461981,-91.179219,21.0,27.0,8.3,14.1,9.041667,13.458333,0.021294,0.040882,0.1214585,0.18695650000000003,0.1,0.11801249999999999,31.087962777777776,1.927021311852,243.375,74.041667,1008.583333,0.0001664901855955963,0.00012135542910821757,185,5
2009-07-05,30.461981,-91.179219,21.0,21.0,6.4,8.3,5.714286,9.041667,0.020529,0.021294,0.10354150000000001,0.1214585,0.1,0.1,30.625,2.323572238148,246.0,75.5,1006.166667,0.0002868074430954553,0.00014226941446236497,186,6
2009-07-06,30.461981,-91.179219,24.0,21.0,8.7,6.4,10.666667,5.714286,0.018294,0.020529,0.138125,0.10354150000000001,0.1,0.1,27.870370555555557,1.457591161852,200.166667,86.541667,1004.75,0.0002976239380126382,0.00012174160464964071,187,0
2009-07-07,30.461981,-91.179219,15.0,24.0,5.1,8.7,9.458333,10.666667,0.022353,0.018294,0.115688,0.138125,0.1,0.1,26.875,1.9355955500000002,248.666667,89.75,1004.0,0.00013067957422861564,7.343671798144892e-05,188,1
2009-07-08,30.461981,-91.179219,21.0,15.0,9.2,5.1,11.333333,9.458333,0.020588,0.022353,0.170761,0.115688,1.4658385,0.1,27.36111111111111,1.4125773118520002,217.333333,87.916667,1005.0,0.00022686686946168558,7.173302586769647e-05,189,2
2009-07-09,30.461981,-91.179219,32.0,21.0,11.5,9.2,11.25,11.333333,0.029118,0.020588,0.18958350000000002,0.170761,4.0479164999999995,1.4658385,29.074073888888886,1.4104341381480001,229.958333,80.416667,1008.083333,0.00018176872289048782,6.223980695473551e-05,190,3
2009-07-10,30.461981,-91.179219,42.0,32.0,15.7,11.5,13.25,11.25,0.041588,0.029118,0.2372285,0.18958350000000002,0.20434800000000003,4.0479164999999995,29.421296111111108,0.90670755,157.625,76.75,1011.708333,0.00027627143875635305,8.371817821962557e-05,191,4
2009-07-11,30.461981,-91.179219,43.0,42.0,18.4,15.7,10.833333,13.25,0.039588,0.041588,0.1989585,0.2372285,0.1020835,0.20434800000000003,29.421296111111108,0.998878938148,168.708333,78.416667,1013.625,0.00014630686038061738,7.574615990374387e-05,192,5
2009-07-12,30.461981,-91.179219,31.0,43.0,14.1,18.4,11.952381,10.833333,0.028118,0.039588,0.211042,0.1989585,0.1,0.1020835,28.356481666666667,1.037462238148,200.916667,84.708333,1012.666667,0.00014576242200883886,0.00010082590699533552,193,6
2009-07-13,30.461981,-91.179219,32.0,31.0,11.6,14.1,7.875,11.952381,0.031235,0.028118,0.14479150000000002,0.211042,0.1,0.1,30.162037222222224,1.727674261852,244.916667,76.958333,1008.791667,0.00016728358696925082,0.00011286116095595783,194,0
2009-07-14,30.461981,-91.179219,50.0,32.0,13.5,11.6,8.208333,7.875,0.029059,0.031235,0.151739,0.14479150000000002,0.1223605,0.1,29.444444444444443,1.7426790500000002,209.875,78.916667,1009.0,0.0001291122438933209,0.0001296013910162882,195,1
2009-07-15,30.461981,-91.179219,26.0,50.0,10.4,13.5,18.681818,8.208333,0.020294,0.029059,0.213125,0.151739,0.10625000000000001,0.1223605,27.291666666666664,1.007452661852,196.333333,85.083333,1011.166667,0.0004401412917624615,0.00012977961765237787,196,2
2009-07-16,30.461981,-91.179219,27.0,26.0,9.0,10.4,13.0,18.681818,0.015471,0.020294,0.29041649999999997,0.213125,0.12083350000000001,0.10625000000000001,27.430555555555554,1.101767738148,196.625,88.083333,1010.166667,0.00026887386823596027,0.0001393170276189858,197,3
2009-07-17,30.461981,-91.179219,17.0,27.0,5.9,9.0,12.541667,13.0,0.011647,0.015471,0.1979165,0.29041649999999997,0.1,0.12083350000000001,25.416666666666664,1.056753888148,209.208333,92.75,1009.375,0.00044021559940711486,5.580550271438683e-05,198,4
2009-07-18,30.461981,-91.179219,22.0,17.0,10.1,5.9,9.708333,12.541667,0.033824,0.011647,0.1835415,0.1979165,0.22083350000000002,0.1,26.550926111111114,1.4854570500000002,181.916667,83.125,1011.375,0.0001780194834349627,0.00011879920994044372,199,5
2009-07-19,30.461981,-91.179219,22.0,22.0,8.5,10.1,8.142857,9.708333,0.034824,0.033824,0.1864585,0.1835415,0.44375,0.22083350000000002,26.921296111111108,1.358989738148,107.916667,65.583333,1012.25,0.0003529981029945458,7.966030939880346e-05,200,6
2009-07-20,30.461981,-91.179219,25.0,22.0,10.4,8.5,10.875,8.142857,0.044471,0.034824,0.21687499999999998,0.1864585,1.0541665,0.44375,27.291666666666664,1.238952461852,174.291667,70.208333,1009.708333,0.00018270965933894404,0.00011591660971936018,201,0
2009-07-21,30.461981,-91.179219,27.0,25.0,10.3,10.4,13.25,10.875,0.030294,0.044471,0.1865215,0.21687499999999998,0.1835405,1.0541665,27.245370555555557,1.611924361852,183.458333,76.416667,1007.708333,0.0002674556241297584,5.0018459003760396e-05,202,1
2009-07-22,30.461981,-91.179219,28.0,27.0,9.2,10.3,12.181818,13.25,0.015647,0.030294,0.15,0.1865215,0.1020835,0.1835405,26.319444444444443,1.20251285,208.583333,86.666667,1007.208333,0.00037243349576734957,8.01437044522558e-05,203,2
2009-07-23,30.461981,-91.179219,36.0,28.0,14.5,9.2,16.041667,12.181818,0.025353,0.015647,0.19757550000000001,0.15,0.625649,0.1020835,26.921296111111108,1.2089434000000001,239.208333,83.208333,1008.0,0.00043143180208704817,0.00013129827584946384,204,3
2009-07-24,30.461981,-91.179219,33.0,36.0,11.2,14.5,12.75,16.041667,0.031647,0.025353,0.273125,0.19757550000000001,3.1937499999999996,0.625649,28.217592777777778,1.85842895,176.75,64.125,1008.5,0.00041882197696339234,0.0001168156646220062,205,4
2009-07-25,30.461981,-91.179219,36.0,33.0,12.1,11.2,14.208333,12.75,0.046412,0.031647,0.227083,0.273125,1.0104165,3.1937499999999996,28.981481666666667,1.3246933,248.208333,63.375,1008.666667,0.00034042756438026943,0.00010989415191320237,206,5
2009-07-26,30.461981,-91.179219,31.0,36.0,9.0,12.1,7.714286,14.208333,0.019353,0.046412,0.1264585,0.227083,0.2,1.0104165,27.175926111111114,1.560479961852,219.583333,81.666667,1009.875,0.00034926562823303214,6.971959374448287e-05,207,6
2009-07-27,30.461981,-91.179219,25.0,31.0,8.3,9.0,13.583333,7.714286,0.012176,0.019353,0.2004165,0.1264585,0.3875,0.2,25.810184999999997,1.309688511852,153.333333,89.75,1009.583333,0.00028547287147929904,8.762912648956647e-05,208,0
2009-07-28,30.461981,-91.179219,31.0,25.0,9.7,8.3,11.583333,13.583333,0.007941,0.012176,0.196087,0.2004165,0.446894,0.3875,27.106481666666667,1.49831815,155.5,87.208333,1006.875,0.00014481919130350035,7.884772878587564e-05,209,1
2009-07-29,30.461981,-91.179219,56.0,31.0,15.1,9.7,7.454545,11.583333,0.010412,0.007941,0.152708,0.196087,0.2416665,0.446894,29.351851666666665,1.87129005,191.166667,80.25,1006.833333,0.000227552970356216,7.690998762900571e-05,210,2
2009-07-30,30.461981,-91.179219,28.0,56.0,8.3,15.1,8.791667,7.454545,0.007941,0.010412,0.1564585,0.152708,0.2416665,0.2416665,28.680555555555554,1.5583367881480001,181.041667,85.333333,1007.5,0.00044870223940962205,7.47327718926026e-05,211,3
